CEP,lat,lon,Bairro
05093000,-23.9182600384,-46.636,Vila Anastácio
05345000,-23.548,-46.2057949258,Jaguaré
05410002,-23.9503900456,-46.1970573078,Pinheiros
02273110,-23.6011000098,-46.6939235533,Jaçanã
02272090,-23.548,-46.6937272058,Jaçanã
05412001,-23.548,-46.1968609612,Pinheiros
04506001,-23.548,-46.9505543242,Vila Nova Conceição
05512000,-23.1371499554,-46.1878288123,Butantã
05589060,-23.5764907,-46.7387116,Vila Gomes
04601061,-23.2501899648,-46.9608627546,Brooklin Novo
05616011,-23.5911588482,-46.7185959444,Vila Progredior
05076050,-23.1792699555,-46.636,Lapa
04213030,-23.2968099717,-46.9100078401,Ipiranga
05047900,-23.4452199893,-46.5238835719,Vila Romana
03691000,-23.3547699792,-46.636,Jardim Nordeste
02273011,-23.6010100093,-46.5781746228,Jaçanã
01136000,-23.5431399934,-46.630698516,Barra Funda
08285065,-23.548,-46.4926637571,Cidade Líder
08295015,-23.5490972,-46.4747202,Vila Carmosina
05798080,-23.1039399547,-47.1203979465,Jardim Avenida
03107000,-23.4191199849,-46.636,Mooca
03071100,-23.6747200158,-46.7742311156,Tatuapé
01445000,-23.565640002,-46.6167576006,Jardim Paulistano
05835004,-23.1004299519,-46.636,Vila Prel
05068001,-23.9161000407,-47.0375378228,Lapa de Baixo
03378050,-23.3888799838,-46.8095742946,Chácara Belenzinho
01238001,-23.5396299945,-46.6268696729,Higienópolis
05653050,-23.9756800476,-46.1694699913,Jardim Leonor
04156040,-23.3047299731,-46.9013683949,Água Funda
01239010,-23.5563700068,-46.6451303285,Higienópolis
01239906,-23.5379199968,-46.646995659,Higienópolis
01307001,-23.5593400052,-46.6236298818,Consolação
05020010,-23.1840399628,-46.636,Perdizes
03191160,-23.4099399858,-46.636,Vila Canero
04205912,-23.4923799917,-46.5753275344,Ipiranga
03112030,-23.4187599784,-46.636,Mooca
04730000,-23.8615600397,-46.2939565288,Várzea de Baixo
04285020,-23.548,-46.9185491119,Vila Moinho Velho
02263030,-23.548,-46.5795490787,Vila Nova Carolina
04190030,-23.298969971,-46.364348371,Vila Santa Teresa (Zona Sul)
02721030,-23.4552099876,-46.7372189499,Limão
05704070,-23.97964005,-46.1651502668,Jardim Fonte do Morumbi
04085000,-23.7824500248,-46.636,Indianópolis
03067000,-23.4217299818,-46.7737402406,Tatuapé
04679310,-23.548,-46.2995525354,Vila Romano
03172010,-23.4126399808,-46.7836559669,Belenzinho
04365000,-23.2778199652,-46.636,Jardim Prudência
05665090,-23.9771200435,-46.1678991878,Paraisópolis
02739000,-23.452779985,-46.7398696911,Itaberaba
01153010,-23.5287734,-46.6557409,Barra Funda
01511000,-23.5679800109,-46.6142050281,Liberdade
